Source,Target
Juanjos_RP,ramrovert
Juanjos_RP,excursioperon
Juanjos_RP,CyNsiempre…
damian82carp,Juanjos_RP
CarmenClausse,OmarAliCandanga
chiercris54,RevistaPPV
chiercris54,CTAok
chiercris54,cta_autonoma
chiercris54,MicheliPablo
chiercris54,HugoYasky
Ely7171,AroldoAlfonso
patrisan53,Winston_Dunhill
alicianicolett1,pagina12
CataCiclon,Sutebasf.
MYayita88,Eduardoute…
MagaritaVarela,elflacozini
MaCris1540,NunkMasKs
wd_Fonseca,austhralis
germanallende,matute_cost
MENDOZAMATIAS3,OlgaLilianaAbr1
GynutG,Juanjos_RP
GynutG,VARIMAK
GynutG,LCrin3
GynutG,CirceF_
GynutG,luckfor
GynutG,knuelas
GynutG,azu59
GynutG,SNAdeORA
GynutG,j…
libelula816,KLibrado
doctagaby,brunobarto
carla_gan,Winston_Dunhill
josebalcarceee,maumacrii
JacoboBibiana,Juanjos_RP
axelbenitezp,roberto_10k
noem1112,fvallejoss
berauza,FAVIO631
arielmnt1,Winston_Dunhill
leohazard2016,grainesOFchange
noem1112,Juanjos_RP
noem1112,VARIMAK
noem1112,LCrin3
noem1112,CirceF_
noem1112,luckfor
noem1112,knuelas
noem1112,azu59
noem1112,SNAdeORA
noem1112,j…
Gustavodiazrod,jorhurt
solojulia2013,Winston_Dunhill
ArmandoCorallo,luisl4
josebalcarceee,maumacrii
GynutG,NoFueMagia3
ser_var,motoreco_ok
tyago_ayala,alzicarelli
matlok33,KLibrado
sisyhoo,Winston_Dunhill
CataCiclon,Sutebasf
CataCiclon,palabra_maestra
marcelanricci86,alzicarelli
moraldeo,fvallejoss
EdmondDants12,aloMecha
DamianNarvarte,Winston_Dunhill
Leon_Peron,maumacrii
DSninoOk,marceloursino
Loreleyn2011,motoreco_ok
jorhurt,Cmesplatere
jorhurt,jorhurt
wd_Fonseca,antik1100000
jorhurt,jorhurt
claulegs1,PartidoMILES
claulegs1,Luis_Delia
claulegs1,"s
marchando"
MagaritaVarela,CataCiclon
DiGuevara,pagina12
kiss19801110,VaneSteinberg
CataCiclon,Sutebasf
CataCiclon,palabra_maestra
RICKHARD63,alzicarelli
QuinterLeonor,Juanjos_RP
QuinterLeonor,VARIMAK
QuinterLeonor,LCrin3
QuinterLeonor,CirceF_
QuinterLeonor,luckfor
QuinterLeonor,knuelas
QuinterLeonor,azu59
QuinterLeonor,SNAdeORA
QuinterLeonor,j…
Loreleyn2011,DaveDavepanzak
Loreleyn2011,mauriciomacri
Loreleyn2011,CFKArgentina
Loreleyn2011,C5N
Loreleyn2011,robdnavarro
QuienPierdeARG,pagina12
eliasdasd,maumacrii
sweetieO7,KLibrado
ripios2013,NunkMasKs
noem1112,grainesOFchange
basta_kks,Winston_Dunhill
jorhurt,aeronauticosCFK
Pajaro05Autlook,pagina12
cilbia,pagina12
ivonecastro2010,Winston_Dunhill
KumpaLili,Juanjos_RP
KumpaLili,VARIMAK
KumpaLili,LCrin3
KumpaLili,CirceF_
KumpaLili,luckfor
KumpaLili,knuelas
KumpaLili,azu59
KumpaLili,SNAdeORA
KumpaLili,j…
ser_var,DiarioPulse
ser_var,HugoYasky
DSninoOk,EquipoEPVS
Pajaro05Autlook,EquipoEPVS
JubepeLa,Winston_Dunhill
extermina_kukas,Winston_Dunhill
mumimumi09,Juanjos_RP
mumimumi09,VARIMAK
mumimumi09,LCrin3
mumimumi09,CirceF_
mumimumi09,luckfor
mumimumi09,knuelas
mumimumi09,azu59
mumimumi09,SNAdeORA
mumimumi09,j…
josebhagavan,AlzamendiOk
santillanista,Juanjos_RP
ArielJob,KLibrado
FAZ80957005,motoreco_ok
YoEldamyRc,maumacrii
gabissoul,DiarioPulse
gabissoul,HugoYasky
MAEMDI,Juanjos_RP
humano_demasia3,KLibrado
CuervoTurco1908,fvallejoss
ReinasolarJuana,jorhurt
matlok33,kukycbj
MagaritaVarela,grainesOFchange
JubepeLa,Cleocleo65
cuellop,Winston_Dunhill
mvisuaramartin1,OmarAliCandanga
Leo86736194,andres_oliva
JorgeomarAguia1,pagina12
EduardoOviedo69,jorhurt
Superalitita,GFrondizi
maieescat72,fvallejoss
jorhurt,Juanjos_RP
jorhurt,VARIMAK
jorhurt,LCrin3
jorhurt,CirceF_
jorhurt,luckfor
jorhurt,knuelas
jorhurt,azu59
jorhurt,SNAdeORA
jorhurt,j…
simpsonsymacri,Communism_Pwr
CataCiclon,mlautorre
lauban7ma,alzicarelli
IglemigMaria,fvallejoss
JPrybysz,tongasmdq
marcelanricci86,Alechaschas
Valeriafarmac,AlzamendiOk
PabloArgentinos,Juanjos_RP
lauban7ma,NunkMasKs
GHalavacs,NunkMasKs
gabrielag631,kukycbj
lucioaberastain,PartidoMILES
lucioaberastain,Luis_Delia
lucioaberastain,"s
marchando"
DerrigoIrma,alzicarelli
carlosraul100,GFrondizi
ElPayanes,pagina12
OPEROMANO,NunkMasKs
marcelanricci86,alzicarelli
g240658,Winston_Dunhill
MagaritaVarela,RCACorrientes
MagaritaVarela,RCACorrientes
MagaritaVarela,CTAok
MagaritaVarela,Lili_Kputo
MagaritaVarela,EvaVeron27
MagaritaVarela,groglio
SandraDocente,EquipoEPVS
moraldeo,pagina12
josebhagavan,RCACorrientes
josebhagavan,RCACorrientes
josebhagavan,CTAok
josebhagavan,Lili_Kputo
josebhagavan,EvaVeron27
josebhagavan,groglio
HouseDotor,grainesOFchange
caro_stu2,alzicarelli
SandraDocente,EquipoEPVS
wd_Fonseca,luisl4
PochiRafael,NunkMasKs
mafcgml,ycnanSoy
aliscalis,alzicarelli
64Elcira,juanpedro1950
delrosario1955,fvallejoss
SARCASTIC65,pagina12
ANALIA1969,tongasmdq
ser_var,Juanjos_RP
amazona_arg,KLibrado
JIP11ok,fvallejoss
moraldeo,pagina12
apyri,FRENCIUDADANO
aeronauticosCFK,PolArg
GynutG,NoFueMagia3
Gachytay,Winston_Dunhill
racing_tonho,AleOviedoc
Juanjos_RP,VARIMAK
Juanjos_RP,LCrin3
Juanjos_RP,CirceF_
Juanjos_RP,luckfor
Juanjos_RP,knuelas
Juanjos_RP,azu59…
AliciaLuB,jorhurt
adrianitaDyJ,PolArg
lucilahary,Winston_Dunhill
myriammoraez,roberto_10k
claulegs1,dariodefran
elcelibe,Winston_Dunhill
MagdalenaM21,RevistaPPV
MagdalenaM21,CTAok
MagdalenaM21,cta_autonoma
MagdalenaM21,MicheliPablo
MagdalenaM21,HugoYasky
klaw2014,tresher2
barbyroja,Alexfisscher
barbyroja,HugoYasky
GuilleWaitzel,austhralis
vale_moody,motoreco_ok
GuilleWaitzel,alzicarelli
5comeRT,Juanjos_RP
debiloto,PittyPeralta
debiloto,MicheliPablo
ReinasolarJuana,DiarioPulse
ReinasolarJuana,RumbayAmor)
amazona_arg,alzicarelli
Indomable2017,alzicarelli
IndiaRicotera_,AlzamendiOk
SaturJupiter,fvallejoss
ReinasolarJuana,vnerina
GracielaGarci33,jorhurt
PittyPeralta,MicheliPablo
Valeriafarmac,BetoMeddis
Hugo_Rosa_,pagina12
MENDOZAMATIAS3,DiarioPulse
MENDOZAMATIAS3,HugoYasky
Ely7171,AnitaMaria188
Ely7171,pagina12
40DDD3,ChoripanVino
adriancaneto,AlzamendiOk
Ely7171,RCACorrientes
Ely7171,RCACorrientes
Ely7171,CTAok
Ely7171,Lili_Kputo
Ely7171,EvaVeron27
Ely7171,groglio
eugeniar71,fvallejoss
Mich_otito,fvallejoss
ReinasolarJuana,DiarioPulse
ReinasolarJuana,MatiasRodrigTDF)
GrecooPedro,DiarioPulse
GrecooPedro,HugoYasky
ReinasolarJuana,ATECapitalOk
javielectro2010,jorhurt
barbyroja,CiudadanoHess
esperanza181066,VaneSteinberg
Ely7171,jorhurt
Carit_Gonzalez,Winston_Dunhill
Rhiboc,Maurito177
anyparedes53,ycnanSoy
Ely7171,eduardojozami
IglemigMaria,PolArg
grainesOFchange,pagina12
HDCArgentina,jorhurt
juanramoncorrea,hernanletcher
juanramoncorrea,rindart
juanramoncorrea,canal26noticias
cintiaspy,PEPITONGUITO
jegxx,pagina12
JulyTitan,EquipoEPVS
MENDOZAMATIAS3,matute_cost
josebhagavan,fvallejoss
GracielaNater,Winston_Dunhill
barbyroja,PEPITONGUITO
gracielashaina,expulsademonios
gracielashaina,V…
PelucaCasal,maumacrii
flacucha1947,RevistaPPV
flacucha1947,CTAok
flacucha1947,cta_autonoma
flacucha1947,MicheliPablo
flacucha1947,HugoYasky
jose18brumario,fvallejoss
ReinasolarJuana,radioecos
GynutG,NoFueMagia3
Ely7171,eduardojozami
lauban7ma,roberto_10k
ricardoardola,ElIslandes
DerrigoIrma,Winston_Dunhill
juliodamianalv1,alzicarelli
jadyccio,tongasmdq
karlof11,VaneSteinberg
SanttiagoLopez_,luisl4
vsaud,KLibrado
barbyroja,Winston_Dunhill
IglemigMaria,DiarioPulse
IglemigMaria,HugoYasky
nancita330787,kastymza
Superalitita,Maurito177
oscarcapellini,alzicarelli
ReinasolarJuana,wwlucho
javiercolmanv,izquierdadiario
CLAUDIAMAS2005,austhralis
AnitaMaria188,elsaseoane
AnitaMaria188,HugoYasky
g240658,tresher2
Volveremos191,grainesOFchange
AnaRod5,juanpedro1950
andreapelleza1,roberto_10k
beatrizbostera3,NunkMasKs
Maruchita221,KLibrado
leonardopaz1969,alzicarelli
ReinasolarJuana,wwlucho
eesarte,pagina12
maia9511,austhralis
flacucha1947,FAVIO631
Rcacomunicacion,marceloursino
sisyhoo,NunkMasKs
indio_1977,Winston_Dunhill
ay_nolopense,roberto_10k
alepotenza2064,maumacrii
GoosBok,maumacrii
andreapelleza1,alzicarelli
marrovaglio,fvallejoss
Rcacomunicacion,RCACorrientes
e6bfd7b55b71426,luisl4
Maruchita221,CiudadanoHess
victorincoco,jorhurt
GoosBok,maumacrii
Superalitita,Alechaschas
Sincronia08,ycnanSoy
paoacosta1,grainesOFchange
ReinasolarJuana,wwlucho
mujernormanda,alzicarelli
Patricia_ar65,roberto_10k
joropo10,jorhurt
luciarovere,alzicarelli
hugobasilico,pagina12
Maruchita221,Winston_Dunhill
DmngzGraciela,jorhurt
Superalitita,juanpedro1950
IglemigMaria,Juanjos_RP
ReyLear67,Winston_Dunhill
Maruchita221,alzicarelli
Argentina20171,ReyLear67
RCACorrientes,Juanjos_RP
javiercolmanv,marceloursino
Maruchita221,NunkMasKs
e6bfd7b55b71426,expulsademonios
e6bfd7b55b71426,V…
HumbertoDaRold,NunkMasKs
PobreroCba,FrancoBoczkows…
Superalitita,aloMecha
VivianaCalabri1,EquipoEPVS
ReinasolarJuana,Miriambevilacq3
AnitaMaria188,fvallejoss
MOU2007,OmarAliCandanga
RaulZurita,alzicarelli
Rodocrosita01,antik1100000
matagarcas,Winston_Dunhill
lolapaula32,marceloursino
joropo10,jorhurt
Irmasusanaacos1,Winston_Dunhill
Ely7171,AnitaMaria188
Ely7171,RevistaPPV
Ely7171,CTAok
Ely7171,cta_autonoma
Ely7171,MicheliPablo
Ely7171,HugoYasky
NegriusOMG,roberto_10k
Jxenize,teoyra
tasmanitavalen,roberto_10k
albertonoya10,alzicarelli
electravera,antik1100000
Cmesplatere,EquipoEPVS
gabyvestel,RevistaPPV
gabyvestel,CTAok
gabyvestel,cta_autonoma
gabyvestel,MicheliPablo
gabyvestel,HugoYasky
Cmesplatere,fvallejoss
Susross1,ReyLear67
gabyvestel,marceloursino
aliartesana,pagina12
Aliciaa79428208,LoreArau
escrinestor,juanpedro1950
claulegs1,tongasmdq
joropo10,jorhurt
ReinasolarJuana,AlertasTransito
ReinasolarJuana,mavirginiagomez
toxenv,Winston_Dunhill
ElPayanes,EquipoEPVS
casasscardino,Winston_Dunhill
gracielashaina,Winston_Dunhill
IloveRA25,austhralis
ReinasolarJuana,AgendaAbiertaER
lolapaula32,Juanjos_RP
Angel4029F,Juanjos_RP
MirtaC10,nrGloria
peche30,alzicarelli
LianJamir2,NunkMasKs
JPCHIAA,EquipoEPVS
roberto_10k,alzicarelli
ElPayanes,CristianMiokovi
lilianarnabal,Juanjos_RP
presidenteevom_,fvallejoss
rafa_richardad,maumacrii
Sliglesias,tongasmdq
QuinterLeonor,alejo27p
Angel4029F,fvallejoss
lux_zoe,Infomedia24hrs
lux_zoe,odelo econ
gnd2002,alzicarelli
ReinasolarJuana,HorariosTren
ReinasolarJuana,DelgadoDaro
peruzzohernan,Winston_Dunhill
rubenricardool3,expulsademonios
erikjuditg,EquipoEPVS
marugutierrez2,Winston_Dunhill
GraTanner0,Juanjos_RP
chola35551909,Winston_Dunhill
AnitaMaria188,RevistaPPV
AnitaMaria188,CTAok
AnitaMaria188,cta_autonoma
AnitaMaria188,MicheliPablo
AnitaMaria188,HugoYasky
perfumealibro,alzicarelli
silviaz19,ohsamaisalive
claulegs1,Choripaneame
chola35551909,NunkMasKs
rafa_richardad,maumacrii
guardandoelalma,jorhurt
aliartesana,chinitaprimera
perfumealibro,KLibrado
Cmesplatere,jorhurt
MajuuCepeda,laurasilva_ar
MajuuCepeda,HugoYasky
27perroloco,pagina12
patopatito11,Winston_Dunhill
rafa_richardad,maumacrii
27perroloco,pagina12
anyparedes53,grainesOFchange
e6bfd7b55b71426,alzicarelli
usinarp,Cleocleo65
olgamondaini,GFrondizi
Cmesplatere,jorhurt
marcemedina47,NunkMasKs
La_Mariucha,Juanjos_RP
gabyvestel,pagina12
DeituDitMarxe,AleOviedoc
87_ania,dariodefran
Cmesplatere,DiarioPulse
Cmesplatere,HugoYasky
RCACorrientes,RCACorrientes
RCACorrientes,CTAok
RCACorrientes,Lili_Kputo
RCACorrientes,EvaVeron27
RCACorrientes,groglio
lageneral15,pagina12
PedroFolguera,alzicarelli
palNestor,VaneSteinberg
psosa705,Juanjos_RP
GOLPEDIRECTO,pagina12
AnitaMaria188,pagina12
victorincoco,ferezequiel2014
JuRivas2015,elsaseoane
JuRivas2015,HugoYasky
e6bfd7b55b71426,VictoriaIndigo8
rubenricardool3,PolArg
mssegundo1,Winston_Dunhill
bicherita,antik1100000
tresher2,Winston_Dunhill
keteyhugo,antik1100000
JuRivas2015,NoFueMagia3
argen262tino,DiarioPulse
argen262tino,HugoYasky
MartaGarcia39,nrGloria
Bigmotomoto,Winston_Dunhill
Jxenize,teoyra
per_alba,ReyLear67
joropo10,RiesgoPaisOK
Susross1,ReyLear67
ReinasolarJuana,MundoGremial
ReinasolarJuana,MicheliPablo
ReinasolarJuana,MicheliPablo
juanramoncorrea,pagina12
piernatalia,Juanjos_RP
SeniorSatanas,alzicarelli
javiercolmanv,motoreco_ok
torcho53,Alechaschas
bicherita,luisl4
nbc_354,maumacrii
joropo10,jorhurt
stanleybotha,maumacrii
ReinasolarJuana,marielaluca
RFrasno,antik1100000
paulinocarla74,andres_oliva
RominaRominade,ElIslandes
Lourdez_ortiz,PolArg
geragalet,alzicarelli
donabrahan1,EquipoEPVS
RaulZurita,ReyLear67
bicherita,NunkMasKs
Lourdez_ortiz,DiarioPulse
Lourdez_ortiz,HugoYasky
JavierLeonforte,GiordanoGringo
JavierLeonforte,C5N
gracybellu,alzicarelli
Choripaneame,elsaseoane
Choripaneame,HugoYasky
nor1077,tongasmdq
nbc_354,DaveDavepanzak
nbc_354,mauriciomacri
nbc_354,CFKArgentina
nbc_354,C5N
nbc_354,robdnavarro
lujan515,Juanjos_RP
Superalitita,Infomedia24hrs
odontoblastos,pagina12
ReinasolarJuana,Adrianahsua
JuRivas2015,CristianMiokovi
La_Mariucha,klaukaroaguirre
Reescritura1,pagina12
CarussoFK,DiarioPulse
CarussoFK,HugoYasky
Eleny459,expulsademonios
Eleny459,V…
GayinaMiyonaria,austhralis
ReinasolarJuana,kirchnerultra
PosadasdeAMIGOS,pagina12
CarussoFK,motoreco_ok
NorISaDel,fvallejoss
lololucio,Winston_Dunhill
MAREO_P,Juanjos_RP
ReinasolarJuana,RevistaPPV
ReinasolarJuana,PrensaComite
ReinasolarJuana,PrensaTupac
ReinasolarJuana,cocotupac
ReinasolarJuana,CELS_Argentina
ReinasolarJuana,CIDH
ReinasolarJuana,MQprens…
2b1d811d257f453,expulsademonios
2b1d811d257f453,V…
blerka08,alzicarelli
ReinasolarJuana,kirchnerultra
Patoruminahuel,AlzamendiOk
ReinasolarJuana,kirchnerultra
CarussoFK,pagina12
terko2013,OmarAliCandanga
JuRivas2015,maumacrii
ReinasolarJuana,kirchnerultra
romanfer1,DiarioPulse
romanfer1,HugoYasky
patambro,Cleocleo65
Ailensol4,fvallejoss
ReinasolarJuana,la_artigas
Kgamuchos3,fvallejoss
meyerjm1,pagina12
SusanitaG1,Manchala1975
sanberretin,ReyLear67
patrybad1,alzicarelli
DocentesnMarcha,GiordanoGringo
DocentesnMarcha,C5N
CadaPaqari,jorhurt
aleleiLeiva,Juanjos_RP
argen262tino,OmarAliCandanga
Mirna13304967,luisl4
nicogonza1981,antik1100000
Sliglesias,fvallejoss
Ailensol4,NunkMasKs
kenbrockman990,matute_cost
Soitusha,NunkMasKs
amirahitt,GrossiCarmen
smolteni,Winston_Dunhill
ana_haak,VaneSteinberg
ebequet,alzicarelli
davidmendoza820,antik1100000
aliartesana,fvallejoss
alfredomontial,motoreco_ok
dngraziano,Winston_Dunhill
supercucharock,motoreco_ok
viejoanarquista,pagina12
QuinchoSaavedra,matute_cost
noem1112,EquipoEPVS
BtzMedina,Winston_Dunhill
NormaAl45127492,antik1100000
pablovg09,motoreco_ok
pegasus0013,Winston_Dunhill
Sliglesias,FAVIO631
Peter_Ioppolo,Infomedia24hrs
ariel5660,NunkMasKs
AleCorail,dariodefran
fiorellamaia2,elsaseoane
fiorellamaia2,HugoYasky
sanberretin,ReyLear67
gabissoul,jorhurt
caro01970,alzicarelli
Graciel90824068,EquipoEPVS
grainesOFchange,grainesOFchange
noemi_piedra,luisl4
ramirezmarcel20,andres_oliva
Laura_Marrone,GiordanoGringo
Laura_Marrone,C5N
indiosdelavega,matfla22
mocabrera1,pagina12
viejoanarquista,motoreco_ok
monicagracela,Manchala1975
ramirezmarcel20,DiarioPulse
ramirezmarcel20,HugoYasky
DamianNarvarte,Infomedia24hrs
DamianNarvarte,odelo econ
nbc_354,ycnanSoy
vimocris,NunkMasKs
Stellita05,alzicarelli
peque081,expulsademonios
ALFREDOLEUCO,pagina12
EduardoOviedo69,motoreco_ok
CadaPaqari,motoreco_ok
gracegm2014,NEComuna13
IgnacioVidente,NunkMasKs
rickysan2010,elsaseoane
rickysan2010,HugoYasky
DesamparadoYQue,PartidoMILES
DesamparadoYQue,Luis_Delia
